township,basin,river,twd97lon,twd97lat,twd97tm2x,twd97tm2y,siteaddress,statusofuse,siteid,sitename,siteengname,county
東勢鄉,新虎尾溪流域,新虎尾溪,120.2457239,23.7403989,173104.07,2626477.31,雲林縣東勢鄉17號公路88km處,啟用,1145,海豐橋,"Hifon Bridge",雲林縣
崙背鄉,新虎尾溪流域,新虎尾溪,120.3473489,23.7420461,183465.57,2626608.52,雲林縣崙背鄉19號公路46km處,啟用,1144,豐橋,"Fon Bridge",雲林縣
虎尾鎮,新虎尾溪流域,新虎尾溪,120.4223819,23.7435131,191115.65,2626737.92,雲林縣虎尾鎮145號公路17.5km處,啟用,1143,吳厝橋(原為中正橋),"Jhongjheng Bridge",雲林縣
莿桐鄉,新虎尾溪流域,新虎尾溪,120.4970181,23.7508470,198727.33,2627521.23,雲林縣莿桐鄉莿桐村1號公路233km處,啟用,1142,新虎尾溪橋,"Sinhuwei River Bridge",雲林縣
莿桐鄉,新虎尾溪流域,新虎尾溪,120.5081758,23.7514670,199864.97,2627585.92,雲林縣莿桐鄉台一丁公路1.5km處,啟用,1141,莿桐一號橋,"Cihtong no. 1 Bridge",雲林縣
竹山鎮,濁水溪流域,清水溪(投),120.6569711,23.7591750,215034.91,2628395.03,南投縣竹山鎮3號公路246km處,啟用,1140,南雲大橋,"Nanyunda Bridge",南投縣
西螺鎮,濁水溪流域,濁水溪,120.4694722,23.8097500,195943.673963531,2634054.7764694,"雲林縣西螺鎮台 1 線公路 225 km 處",啟用,1139,溪州大橋（取代西螺大橋）,"Xizhou Bridge",雲林縣
名間鄉,濁水溪流域,濁水溪,120.7058461,23.8178040,220030.24,2634876.75,南投縣名間鄉3號公路34km處,啟用,1138,名竹大橋,"Minchiuda Bridge",南投縣
竹山鎮,濁水溪流域,濁水溪,120.7631250,23.8168530,225865.94,2634760.52,南投縣竹山鎮富州里台三丙公路6km處,停用,1137,集集大橋,"Gigida Bridge",南投縣
水里鄉,濁水溪流域,濁水溪,120.8434800,23.8084050,234051.90,2633813.58,南投縣水里鄉縣131公路35km處,啟用,1136,玉峰大橋,"Yufonda Bridge",南投縣
福興鄉,鹿港溪流域,鹿港溪,120.4300980,24.0484300,192038.34,2660504.12,彰化縣福興鄉沿海路五段264號旁,停用,1135,福興橋,"Fusing Bridge",彰化縣
福興鄉,鹿港溪流域,鹿港溪,120.4863090,24.0108580,197740.18,2656320.97,彰化縣福興鄉彰水路11號,停用,1134,萬豐橋(原為萬祥橋),"Wanfon Bridge",彰化縣
埔心鄉,鹿港溪流域,鹿港溪,120.5412180,23.9664350,203310.36,2651381.85,彰化縣埔心鄉瑤鳳路二段416巷109號,停用,1133,油車橋,"Yucheo Bridge",彰化縣
員林市,鹿港溪流域,鹿港溪,120.5942430,23.9163350,208690.76,2645816.83,彰化縣員林雅新路與鹿港溪交叉口,停用,1132,東茂橋,"Dongmou Bridge",彰化縣
烏日區,烏溪流域,筏子溪,120.6149939,24.1063361,210860.92,2666853.34,台中市烏日區12甲公路大鐘印染旁,啟用,1131,集泉橋,"Gichen Bridge",臺中市
西屯區,烏溪流域,筏子溪,120.6279361,24.1771019,212197.43,2674687.15,台中市西屯區中港路三段44-8號,啟用,1130,東海橋,"Donghi Bridge",臺中市
國姓鄉,烏溪流域,南港溪(投),120.8440200,24.0179990,234132.54,2657025.26,南投縣國姓鄉中正路二段213號,啟用,1129,柑子林橋,"Gandzulin Bridge",南投縣
國姓鄉,烏溪流域,南港溪(投),120.8715289,23.9830039,236927.42,2653146.81,南投縣國姓鄉中正路四段210-1號,啟用,1128,北山橋,"Beisan Bridge",南投縣
埔里鎮,烏溪流域,南港溪(投),120.9465111,23.9669190,244556.56,2651360.54,南投縣埔里鎮中山路三段741號,啟用,1127,愛蘭橋,"Ailan Bridge",南投縣
烏日區,烏溪流域,大里溪,120.6433711,24.0920681,213741.71,2665265.53,台中市烏日區127號公路友勝鋼鐵旁,啟用,1126,溪南橋,"Sinan Bridge",臺中市
大里區,烏溪流域,大里溪,120.6890861,24.0938781,218390.01,2665454.93,台中市大里區元提路二段12號,啟用,1125,大里橋,"Dali Bridge",臺中市
北屯區,烏溪流域,大里溪,120.7377719,24.1784761,223357.35,2674814.05,台中市北屯區東山路一段428號,啟用,1124,逢甲橋,"Fongia Bridge",臺中市
芬園鄉,烏溪流域,貓羅溪,120.6375689,24.0134681,213129.35,2656562.14,彰化縣芬園鄉社口村復興路59號,啟用,1123,利民橋,"Limin Bridge",彰化縣
草屯鎮,烏溪流域,貓羅溪,120.6574539,23.9523980,215135.86,2649793.67,南投縣草屯鎮草溪路9-1號旁,啟用,1122,平林橋（貓羅溪）,"Pinlin Bridge",南投縣
中寮鄉,烏溪流域,貓羅溪,120.7577769,23.8825319,225333.47,2642035.08,南投縣中寮鄉親寮段454號,啟用,1121,中正橋,"Jhongjheng Bridge",南投縣
龍井區,烏溪流域,烏溪,120.5087740,24.1905340,200095.34,2676212.17,台中市龍井區17號公路,停用,1120,中彰大橋,"Jhongchangda Bridge",臺中市
大肚區,烏溪流域,烏溪,120.5821369,24.1059300,207520.56,2666817.92,台中市大肚區1號公路(臨彰化縣彰化市1號公路184.5處),啟用,1119,大度橋(原為大肚橋),"Dadu Bridge",臺中市
霧峰區,烏溪流域,烏溪,120.6955969,24.0089369,219031.58,2656046.33,台中市霧峰區3號公路,啟用,1118,烏溪橋,"Wu River Bridge",臺中市
國姓鄉,烏溪流域,烏溪,120.8269119,24.0270469,232393.40,2658029.33,南投縣國姓鄉136號公路,啟用,1117,乾峰橋,"Chenfon Bridge",南投縣
